account_value,datadate,daily_return,Date
1195985.962454837,20171025,-0.018623425014651862,2017-10-25
1202845.7820559978,20171026,0.005735702438413703,2017-10-26
1199412.2790840857,20171027,-0.0028544831125759673,2017-10-27
1202298.423943602,20171030,0.0024062992432596353,2017-10-30
1201549.5329530244,20171031,-0.0006228827848923091,2017-10-31
1207569.0568187442,20171101,0.005009800845185097,2017-11-01
1216731.1479662226,20171102,0.007587219211806717,2017-11-02
1211025.116408017,20171103,-0.00468964040884734,2017-11-03
1213747.2702042146,20171106,0.002247809528733491,2017-11-06
1217697.0314419132,20171107,0.0032541875352964933,2017-11-07
1216925.641493551,20171108,-0.000633482654916917,2017-11-08
1207165.7183536598,20171109,-0.00802014749883373,2017-11-09
1202245.724318017,20171110,-0.004075657518134879,2017-11-10
1207014.025402726,20171113,0.003966161815558644,2017-11-13
1199467.6889940673,20171114,-0.006252070191264614,2017-11-14
1201263.3356791688,20171115,0.0014970363116721952,2017-11-15
1211912.809309295,20171116,0.008865228225837019,2017-11-16
1206053.9681438766,20171117,-0.00483437514680396,2017-11-17
1212901.0711746702,20171120,0.0056772774781639335,2017-11-20
1220930.6222654248,20171121,0.006620120372206495,2017-11-21
1212971.8822258716,20171122,-0.006518584999355537,2017-11-22
1215536.9015689306,20171124,0.0021146568858232406,2017-11-24
1212990.3969041249,20171127,-0.0020949628608715187,2017-11-27
1227739.9484064213,20171128,0.012159660571049224,2017-11-28
1232549.6786786006,20171129,0.0039175480755693215,2017-11-29
1257514.5062574786,20171130,0.02025462178988402,2017-11-30
1244650.7401486416,20171201,-0.010229517071036587,2017-12-01
1262198.6165481831,20171204,0.014098634929061271,2017-12-04
1252074.1379061658,20171205,-0.008021303865555995,2017-12-05
1256346.4428542021,20171206,0.003412182089457483,2017-12-06
1267962.4083248137,20171207,0.009245829871752598,2017-12-07
1279431.0407864656,20171208,0.009044930974573484,2017-12-08
1275287.5206299995,20171211,-0.0032385646622417052,2017-12-11
1298112.8441943263,20171212,0.017898178406898335,2017-12-12
1301238.775245255,20171213,0.002408058024315096,2017-12-13
1304292.4186412382,20171214,0.002346720259244872,2017-12-14
1308498.4958696947,20171215,0.0032247961947353687,2017-12-15
1319879.1844293205,20171218,0.00869751749470793,2017-12-18
1318958.6017749512,20171219,-0.0006974749395470825,2017-12-19
1319219.4711654496,20171220,0.00019778436574680036,2017-12-20
1318577.6838292005,20171221,-0.00048649019384328085,2017-12-21
1318100.0692424995,20171222,-0.000362219528328378,2017-12-22
1315931.4708982522,20171226,-0.0016452456037678864,2017-12-26
1315675.1562321358,20171227,-0.00019477812620549706,2017-12-27
1318422.547892672,20171228,0.0020881990873828915,2017-12-28
1311888.2538516966,20171229,-0.004956145547889479,2017-12-29
1320889.380576707,20180102,0.006861199266464224,2018-01-02
1320889.380576707,20180103,0.0,2018-01-03
1330266.6191794635,20180104,0.007099185397843266,2018-01-04
1361014.7146349396,20180105,0.02311423515568789,2018-01-05
1359653.7006993222,20180108,-0.0009999994276200797,2018-01-08
1359653.7006993222,20180109,0.0,2018-01-09
1359653.7006993222,20180110,0.0,2018-01-10
1359653.7006993222,20180111,0.0,2018-01-11
1359653.7006993222,20180112,0.0,2018-01-12
1359653.7006993222,20180116,0.0,2018-01-16
1359653.7006993222,20180117,0.0,2018-01-17
1359653.7006993222,20180118,0.0,2018-01-18
1359653.7006993222,20180119,0.0,2018-01-19
1359653.7006993222,20180122,0.0,2018-01-22
1359653.7006993222,20180123,0.0,2018-01-23
1359653.7006993222,20180124,0.0,2018-01-24
1359653.7006993222,20180125,0.0,2018-01-25
1359653.7006993222,20180126,0.0,2018-01-26
1359653.7006993222,20180129,0.0,2018-01-29
1359653.7006993222,20180130,0.0,2018-01-30
1359653.7006993222,20180131,0.0,2018-01-31
1359653.7006993222,20180201,0.0,2018-02-01
1359653.7006993222,20180202,0.0,2018-02-02
1359653.7006993222,20180205,0.0,2018-02-05
1359653.7006993222,20180206,0.0,2018-02-06
1359653.7006993222,20180207,0.0,2018-02-07
1359653.7006993222,20180208,0.0,2018-02-08
1359653.7006993222,20180209,0.0,2018-02-09
1359653.7006993222,20180212,0.0,2018-02-12
1359653.7006993222,20180213,0.0,2018-02-13
1359653.7006993222,20180214,0.0,2018-02-14
1359653.7006993222,20180215,0.0,2018-02-15
1359653.7006993222,20180216,0.0,2018-02-16
1359653.7006993222,20180220,0.0,2018-02-20
1359653.7006993222,20180221,0.0,2018-02-21
1359653.7006993222,20180222,0.0,2018-02-22
1359653.7006993222,20180223,0.0,2018-02-23
